tipo_servico,canal_atendimento,faixa_etaria,tempo_espera,qualidade_percebida,preco_pago,atendimento_resolutivo,nps,tempo_resposta,isc
Básico,E-mail,51+,"11,53601354","5,20287618","46,86557061",Sim,"9,226730789","2,234804133","50,60994656"
Premium,Presencial,18-25,"7,084180974","7,600844516","56,49849763",Sim,"3,212267798","2,174307896","56,23195089"
Premium,Telefone,36-50,"14,8816234",10,"83,24050806",Sim,"7,990671887","2,607867754","51,68655168"
Básico,Chat,36-50,"7,900264608","9,766545413","67,96924086",Sim,"7,086089528","2,185535249","51,79482519"
Básico,E-mail,36-50,"9,639103029","6,255308591","44,79561172",Sim,"7,040376971","1,951031183","49,30500296"
Básico,Chat,26-35,"3,78154832","7,36396869","61,27193538",Sim,"7,024477805","1,501996865","55,86791276"
Básico,Telefone,51+,"9,726285184","7,547043272","70,07938934",Não,"5,895341246","4,875445","48,89604614"
Básico,Telefone,26-35,"13,84560035","7,050801037","61,64764794",Não,"6,804958332","3,471965432","43,34365064"
Intermediário,E-mail,51+,"11,04990132","5,617750336","46,38283485",Não,"5,824743702","3,10191708","35,94395883"
Básico,Telefone,18-25,"10,25522577","6,365909147","55,25585622",Sim,"6,995910003","4,388516102","48,61607924"
Intermediário,Telefone,26-35,"11,18276221","8,750215655","65,43318459",Não,"5,265876263","1,979370953","48,8965653"
Intermediário,Chat,18-25,"12,88163503",10,"82,94979332",Sim,"7,12867346","3,031853848","59,18710082"
Básico,Chat,36-50,"8,697638596","7,442935502","43,4605267",Sim,"9,448728289","3,994622667","41,04931948"
Intermediário,Chat,36-50,"4,580392034","5,134680521","43,64766175",Sim,"4,61392016","2,553573469","51,91669525"
Intermediário,E-mail,18-25,"12,27918998","2,384700948","19,73045583",Sim,"5,551237027","1,710470506","36,01472286"
Intermediário,E-mail,26-35,"6,771874644","7,148573605","57,03851597",Não,"5,373443244","2,419656725","50,44991486"
Básico,Chat,51+,"13,9021981","6,372897923","48,83790955",Sim,"8,837862231","2,260778872","45,91807404"
Básico,E-mail,26-35,"14,11100788","5,763799971","44,75350346",Não,"5,83371129","3,45775747","34,1774753"
Básico,Presencial,26-35,"7,297267224","4,462931412","38,32187621",Não,"8,470593943","3,888011839","38,92220716"
Intermediário,Telefone,36-50,"3,610057571","8,95048328","62,46510601",Sim,"6,390403335","3,019957132","53,96727984"
Básico,Telefone,18-25,"14,81535416","6,167829494","47,95862059",Sim,"5,215844988","2,628668491","42,86955339"
Premium,E-mail,36-50,"16,73741131","5,607368405","48,72712621",Sim,"8,166780748","0,7390874967","39,58803731"
Premium,Chat,18-25,"13,13254232","8,395786705","60,95470202",Sim,"5,207785736","2,759564125","53,42510705"
Premium,E-mail,51+,"7,489222927",,"60,76017476",Sim,"5,546282122","3,677716887","55,39308436"
Intermediário,Chat,26-35,"6,988962443","7,514010715","61,31655338",Sim,"5,551556331","2,03994526","53,87394444"
Intermediário,Telefone,36-50,"12,37604156","6,67316718","49,13107878",Sim,"8,411946922","3,259146016","46,78761138"
Básico,Presencial,36-50,"14,19768226","6,617602471","50,64489854",Sim,10,"3,220976052","54,86611192"
Intermediário,Telefone,18-25,"10,55780205","7,513555702","59,5742064",Sim,"3,805846244","1,792270105","47,86460184"
Básico,Chat,18-25,"7,662769752","6,377186281","51,82689153",Sim,"4,774129874","4,483409307","39,30432639"
Intermediário,E-mail,26-35,"16,85598168","6,192743752","43,73973441",Sim,"4,426591663","3,533265348","32,83159789"
Intermediário,E-mail,26-35,"9,572747872","9,207027643","73,62478074",Sim,"3,943608861","3,837739566","51,67729532"
Básico,Chat,51+,"10,09312778","5,400201494",,Sim,"6,866636267","2,513073727","46,23815452"
Intermediário,Presencial,18-25,"14,37568644","5,49649082","42,86331705",Não,"6,795983966","4,496624481","33,27492008"
Básico,Telefone,36-50,"9,605328447","5,434657983","50,78877007",Sim,"5,753649526","2,420639828","51,10703546"
Básico,Telefone,26-35,"16,08444602","6,125666064","48,31099555",Sim,"5,484600316","3,19571006","37,71678764"
Básico,E-mail,36-50,"8,980085","7,857424296","62,35548543",Sim,"7,759542275","1,704864037","52,13248271"
Intermediário,Chat,18-25,"12,13740522","6,547334338","56,87851553",Não,"2,418533128","2,212543899","45,59991483"
Básico,Telefone,26-35,"7,828759421","5,986585412","50,21799622",Sim,"9,11589234","2,871876835","51,79289184"
Premium,Chat,36-50,"9,993063787","6,491389277","61,55710284",Sim,"6,717559222","3,73202977","52,74766003"
Básico,Chat,26-35,"13,03184188","7,665954247","60,57689805",Sim,"8,207324363","2,509678106","45,1655749"
Premium,E-mail,36-50,"10,75669786","6,173696289","42,77039597",Sim,"6,338463014","2,364462133","55,5338328"
Premium,Chat,26-35,"10,17975556","8,666008738","61,99648508",Não,"6,553336454","2,979697352","46,10986315"
Básico,Chat,51+,"2,521664279","6,236867286","51,66544084",Não,"5,927186069","1,214259691","58,81830036"
Básico,Chat,26-35,"11,34323982","6,525065365","60,75363913",Não,"5,379638357","1,926160731","45,68607049"
Intermediário,E-mail,18-25,"19,33769739","7,489576518","54,49002701",Sim,"8,51549184","1,429096467","44,68835238"
Premium,Presencial,36-50,"13,00919857","5,736902139","44,7141038",Sim,"6,67134013","4,12604749","49,88215033"
Intermediário,Chat,51+,"21,03074779","5,821346777","45,52248163",Sim,"4,063580171","2,873419883","36,54671416"
Intermediário,Presencial,26-35,"17,37444804","7,698285555","67,67040216",Não,"7,324454217","3,052840958","41,60834398"
Premium,Presencial,18-25,"12,72911402","4,373895902","29,79837152",Não,"4,71029329","2,883471888","43,33253153"
Básico,Presencial,18-25,"13,81802024","5,018631571","49,94241816",Não,"2,181281594","1,615413909","34,39834158"
Intermediário,Chat,51+,0,"8,405463325","61,92595434",Não,"6,260454497","2,218867323","62,32538636"
Básico,Telefone,26-35,"15,77308503","7,183144886","54,35366744",Sim,"6,300819137","3,72933821","45,98974068"
Premium,Chat,26-35,"11,37737246","6,06270471","46,43475189",Sim,"7,410833255","3,175111483","54,32120256"
Básico,E-mail,18-25,"16,70986538","7,50753009","64,89034866",Sim,"9,239979938","3,855533165","49,99504365"
Básico,E-mail,26-35,"6,796313632","9,055859953","71,14889462",Sim,"8,322695794","3,334850021","66,99404899"
Básico,E-mail,18-25,"11,68609486","8,198082831","56,50479647",Sim,"4,964754301","2,891470126","41,23012199"
Intermediário,Presencial,36-50,"10,77683","7,402932748","65,12234574",Sim,"7,631385746","2,550253863","60,0140196"
Intermediário,Telefone,51+,"16,17477451","7,514131978","60,20937667",Sim,"6,65252722","4,868178784","44,08537519"
Intermediário,E-mail,18-25,"7,732937957","6,905254693","58,26928839",Sim,"7,499617377","2,682458843","50,57713949"
Intermediário,E-mail,18-25,"9,637487722","5,527170754","51,27250275",Sim,"5,719760089","2,75850321","48,19104113"
Premium,E-mail,26-35,"6,671657535","8,016142998","62,7517092",Não,"5,153653075","3,333186532","44,88736277"
Intermediário,E-mail,18-25,"9,219994312","6,808064656",,Sim,"8,554335431","3,214775378","53,14144305"
Intermediário,Chat,26-35,"11,31855543","4,891833927","29,63770441",Sim,"6,721723024","1,567731124","48,14005973"
Intermediário,E-mail,36-50,"9,785035757","6,098963954","47,30861783",Sim,"7,851016302","2,803919782","53,62556705"
Básico,Presencial,36-50,"8,214987257","6,422532913","45,59320072",Sim,"5,216301261","3,57895407","52,78117841"
Básico,Telefone,26-35,"15,11902763","8,076480234","66,39380262",Sim,"0,9643808582","1,761485145","43,52027133"
Premium,E-mail,51+,"8,911700406","8,690670401","64,06205105",Não,"5,563408174","4,187295409","51,69165732"
Básico,Chat,26-35,"3,53446907","5,384799295","36,13413046",Sim,"6,787050425","1,944011775","49,71474678"
Básico,Presencial,18-25,"6,509192452","7,898551104","68,83664017",Não,10,"1,118342486","53,24786512"
Básico,Telefone,26-35,"9,367539095","7,364964887","58,48321699",Sim,"6,43800073","1,667685299","48,52230239"
Básico,E-mail,18-25,"4,153214822","5,978718582","55,48921662",Sim,"1,941663983","4,209450733","45,63698952"
Premium,Telefone,51+,"9,179224827","5,908444395","46,65366427",Não,"5,537481823","4,009651517","47,15104723"
Básico,Presencial,18-25,"9,627079341","5,168695428","37,33744512",Sim,"4,522384501","5,07451834","35,94687482"
Premium,E-mail,36-50,"4,701845147","8,32070016","66,88517166",Sim,"7,50658475","2,882352861","62,8495425"
Básico,Chat,36-50,"10,2424183","7,710483331","64,43398458",Sim,"5,989410768","2,549961636","49,9757829"
Intermediário,Telefone,51+,"10,15434278","5,443053655","44,43984049",Sim,"7,784512977","4,012037732","51,83732272"
Básico,Presencial,36-50,"13,75965912","6,461272576","53,08560798",Sim,"8,303436183","3,979332497","46,01211753"
Intermediário,Chat,51+,"10,21461838","5,448647101","38,69718524",Não,"4,646101371","1,242659349","37,23175995"
Intermediário,Presencial,36-50,"8,188000694","7,159958895","52,50042345",Não,"8,613673735","2,834402548","47,17860512"
Premium,E-mail,18-25,"11,54390027","9,413133163","74,83307473",Não,"5,056419214","2,879392103","42,50563188"
Intermediário,Presencial,18-25,"12,15992248","6,945256379","51,3148245",Sim,"6,134045248","1,27677706","42,61824331"
Intermediário,E-mail,51+,"8,341153914","8,409318168","69,61766923",Sim,"5,781375637","2,736884664","58,22892684"
Intermediário,Chat,18-25,"7,50664046","9,814116317","78,02420077",Não,"2,293994937","2,086971227","55,97782561"
Intermediário,Chat,36-50,"8,709032756",10,"79,19498093",Sim,"5,7850759","3,235127002","53,73394922"
Básico,Presencial,36-50,"6,993528917","5,032399648","39,68639935",Sim,"2,354785221","3,826955319","42,03330718"
Premium,Presencial,36-50,"5,267383581","6,138218682","45,05068186",Sim,"3,505699115","2,275311357","51,23069633"
Básico,Telefone,26-35,"12,00931693","7,638285329","66,27711154",Não,"6,900737416","3,240226405","45,97473129"
Intermediário,E-mail,36-50,"8,993729529","7,762681862","62,40360047",Sim,"7,169848461","2,711945835","60,02291252"
Intermediário,Chat,26-35,"10,29287542","6,975352038","54,35611022",Sim,"7,865392145","2,731412817","46,35124701"
Intermediário,E-mail,51+,"18,55452156","8,958111394","76,67456419",Sim,"5,174424162","4,673277055","53,08798471"
Intermediário,E-mail,36-50,"9,92433671","6,080467901","49,58390114",Sim,"7,494671422","2,546904769","53,97270298"
Básico,Telefone,26-35,"6,021252516","6,865055435","62,26184951",Sim,"8,794749546","3,20143268","54,26892739"
Intermediário,E-mail,26-35,"7,824947121","7,943861692","53,44150881",Sim,"5,58175716","2,556073807","42,89142158"
Básico,E-mail,26-35,"9,757030393","8,330387805","61,01162791",Não,"7,630724096","3,354496197","45,42611404"
Intermediário,Chat,18-25,"9,261170478","9,680197988","79,82276869",Sim,"3,162663783","5,414924744","56,49185328"
Básico,E-mail,26-35,"3,631199777","6,894482722","52,4697949",Sim,"5,733875069","2,134529653","55,96903441"
Intermediário,Presencial,26-35,"10,61642635","5,985499988","51,13720193",Sim,"6,483052665","1,97681975","53,19794622"
Básico,E-mail,51+,"11,18973572","7,317896519","60,50247769",Sim,"7,52042074","2,651775672","45,78109739"
Intermediário,Presencial,36-50,"10,1965086","5,816898516","43,09956527",Sim,"4,635976249","2,15007688","42,38368411"
Intermediário,E-mail,18-25,"2,36942091","8,475292391","76,63817679",Sim,"5,985107639","2,762998173","68,13306503"
Básico,E-mail,51+,"12,57613223","5,354144467","46,9624943",Não,"6,735645835","1,52478942","42,71073379"
Básico,Telefone,18-25,"13,3292622",10,"76,24976118",Sim,"8,308078802","3,071712166","44,83748292"
Intermediário,Telefone,36-50,"11,10183385","8,351518727","63,15736977",Não,"8,090592258","1,052594029","52,79867091"
Básico,Presencial,36-50,"12,60613849","6,397406908","52,79443676",Sim,"6,170667623","2,179394037","39,696428"
Intermediário,Presencial,18-25,"5,040069562","5,702478011","35,99641298",Sim,"7,083764639","2,759555197","52,30287657"
Básico,Chat,36-50,"13,17199753","8,358337781","65,07846406",Sim,"7,076840243","1,844433752","41,29885909"
Intermediário,Telefone,51+,"9,662466082","9,017951169","70,08866402",Sim,"4,934426071","3,291973129","50,86260643"
Premium,E-mail,51+,"9,933827193","3,640421623","27,74748313",Não,10,"1,934352643","39,73325015"
Básico,Presencial,18-25,"16,73805595","9,85397819","91,65720851",Sim,"6,918431233","2,90431527","52,66497418"
Básico,Telefone,51+,"8,845859541","6,200775886","47,67268426",Sim,"7,461913665","3,27170866","46,02140579"
Básico,E-mail,26-35,"14,13813885","5,359323204","47,31576842",Sim,"3,837224137","2,156575615","36,77495198"
Intermediário,E-mail,26-35,"1,970814744","7,147649296","49,15318655",Não,"6,027538985","2,186433362","52,59145028"
Básico,E-mail,18-25,"8,375339314","6,413502805","43,41338315",Não,"6,142993359","4,002699943","47,11943158"
Premium,Chat,51+,"10,65121841","8,935197801","77,55122964",Sim,"8,11393501","2,467459461","52,8514486"
Básico,Telefone,26-35,"3,837389872","7,992305103","63,92582078",Não,"7,481954467","4,049806285","47,63520397"
Premium,Telefone,18-25,"13,91052296","5,97801591","46,35450122",Sim,"6,090009215","2,019741201","44,8037915"
Intermediário,E-mail,26-35,"17,4328667","8,095513862","61,55578165",Sim,"7,464270805","1,610875358","49,82552745"
Básico,Telefone,26-35,"7,534502003","6,61261085","50,92148898",Sim,"7,260543884","3,618205755","46,58404225"
Intermediário,Chat,26-35,"11,52704573","6,931903263","51,34956744",Sim,"8,586577088","3,057383887","41,54597237"
Básico,E-mail,26-35,"5,197796794","7,176081305","55,10435429",Sim,"8,770381483","3,080424626","50,79691683"
Básico,Presencial,26-35,"18,15327619","6,882113571","57,4519849",Sim,"7,510558683","1,693403796","37,77782599"
Intermediário,Chat,18-25,"13,03453642","5,394190163","39,12160138",Sim,"4,197770343","4,390385996","38,17992766"
Básico,Telefone,26-35,"8,20705228","9,559347459","82,61406991",Sim,"5,88117671","3,022933893","52,33849029"
Premium,E-mail,51+,"6,310885918","5,941361492","45,10612617",Sim,"5,767151563","3,03434204","50,17575508"
Premium,Chat,51+,"9,221274365","5,664526564","36,11720113",Sim,"9,562598715","2,180549154","49,07451045"
Intermediário,Chat,26-35,"9,108249109","4,88246756","38,45836343",Sim,"6,07689891","0,5025048957","46,21225576"
Intermediário,Presencial,26-35,"11,59947707","7,694681251","64,04409785",Sim,"5,198217311","2,214366782","45,92354606"
Premium,Telefone,18-25,"5,928422148","5,64823172","49,46020178",Não,10,"2,468432025","53,23681504"
Básico,Telefone,26-35,"10,0857998","6,308214332","42,0632578",Sim,"9,638719558","3,349905927","42,54458186"
Premium,Presencial,36-50,0,"7,20239786","55,70216779",Sim,"6,272415004","2,444617225","63,96428884"
Básico,E-mail,26-35,"14,79317542","6,42874621","57,46303225",Não,"7,521408248","4,18977291","38,02582809"
Básico,Presencial,51+,"8,812937441","6,662075511","57,6194479",Sim,"4,218659378","2,933795544","50,08181883"
Básico,Chat,18-25,"9,945090774","7,198689282","61,09594007",Sim,"7,670135196","3,394505847","48,55480076"
Intermediário,Telefone,26-35,"13,55518826","8,138073673","62,65209961",Sim,"5,373431844","3,514431098","45,41880832"
Básico,Presencial,51+,"6,976356664","9,962465433","75,98684748",Sim,"6,21137994","3,270877412","57,43260566"
Intermediário,Presencial,36-50,"7,921860932","5,530415217","44,73300597",Sim,"4,825167141","3,223966589","51,93702639"
Premium,Telefone,18-25,"7,48353062","8,618250869","71,55042275",Sim,"2,243229138","4,064393196","60,49995872"
Básico,Presencial,26-35,"4,797288136","8,248866342","64,2250678",Sim,"3,701907583","3,295684352","48,67017147"
Básico,E-mail,51+,"14,0558239","2,690575691","20,86328813",Sim,"8,184635843","2,529039848","36,92058789"
Básico,E-mail,18-25,"9,532539388","6,911236111","59,95440924",Sim,"3,800952087","5,289212561","46,88395876"
Premium,Presencial,26-35,"7,42211121","7,812429658","66,20244679",Não,"5,303515048","4,029646165","50,91818241"
Intermediário,Telefone,26-35,"12,39565978","9,4865762","74,96806128",Sim,"4,58833532","2,783277441","49,498646"
Intermediário,Presencial,51+,"6,420046123","4,898625831","35,66915551",Sim,"6,210157221","3,416372096","49,25243729"
Intermediário,Chat,51+,"5,563409742","6,689901748","57,52274048",Não,"7,687017732","4,264270928","54,72780224"
Intermediário,Telefone,18-25,"7,579684991","3,861173077","30,88890507",Sim,"5,821459328","2,744923164","52,35862388"
Básico,E-mail,18-25,"10,07954632","7,72982372","60,69889268",Sim,"4,581009545","4,118445269","41,57316749"
Intermediário,Telefone,26-35,"6,522173046","8,818436017","73,71887148",Sim,"7,687732381","3,717774268","62,48992922"
Intermediário,E-mail,36-50,"12,62247093","7,153513034","56,77747995",Sim,"6,728550922","2,236376002","52,24976678"
Básico,Chat,26-35,"4,982991338","8,065174829","73,46373838",Sim,"9,368014051","1,311931799","66,42079542"
Intermediário,Presencial,18-25,"11,03985083","5,617876173","38,59684681",Não,"6,324881246","4,070709712","39,81680323"
Básico,Telefone,26-35,"12,7483365","8,645128034","62,33814548",Sim,"8,51578405","5,719242478","34,58928576"
Intermediário,E-mail,18-25,"4,625890511","6,933943456","48,88059748",Sim,"5,736733247","4,507981638","44,07598113"
Básico,Presencial,26-35,"1,812682892","7,293388101","67,54936418",Sim,"8,37018032","3,153245994","64,36129148"
Premium,Presencial,18-25,"16,64213884","7,099339798","54,29515338",Sim,"6,708466333","3,408452752","43,99485596"
Premium,E-mail,18-25,"7,293483004","7,698700335","63,24666152",Sim,"5,43029124","5,846159107","58,54956421"
Intermediário,E-mail,36-50,"8,390351891","7,716241905","55,07989024",Sim,"6,641563354","4,821229372","48,01438007"
Premium,Chat,51+,"14,17880957","8,2526627","62,66083893",Sim,"6,980363611","3,46157298","45,06446795"
Básico,Presencial,51+,"13,23991062","8,219433161","67,03104297",Sim,"9,879295867","3,186493714","49,24760483"
Básico,Chat,26-35,"8,189892692","9,337131005","78,6796925",Sim,"8,548298354","4,096070638","52,00546368"
Intermediário,Presencial,51+,"3,628064941","8,097719334","72,38688119",Sim,"5,660521851","4,272041585","59,63828051"
Intermediário,Telefone,51+,"8,111843804","6,961354884","53,59612593",Sim,"6,426026587","3,099827951","45,43016983"
Básico,Chat,18-25,"11,24959521","4,132605618","33,64682216",Não,"8,029953075","1,779930007","42,04211326"
Básico,Chat,51+,"14,4033674","7,156358123","61,65809802",Sim,"3,498348427","2,735700136","44,35243259"
Básico,Presencial,36-50,"14,2028871","4,715270039","31,41134125",Sim,"6,928028626","0,5","44,55658183"
Premium,Chat,18-25,"11,53375289","8,595645096","67,97488801",Não,"6,989495077","2,560149112","59,16014883"
Básico,Chat,51+,"7,772195349","5,404006315","42,98277818",Sim,"8,853854848","2,38265337","48,12925778"
Básico,E-mail,51+,"19,73514871","6,246982433","61,82217756",Sim,"7,766656775","3,016416574","46,65274564"
Básico,E-mail,18-25,"11,06399605","8,424813636","66,42748317",Sim,"8,047889986","1,095568353","54,12180224"
Intermediário,Telefone,51+,"19,08830732","5,570254716","45,83308941",Sim,"7,309414314","1,322596944","34,1684958"
Intermediário,Chat,51+,"10,18613709","7,855169074","66,71843495",Sim,"8,267987946","3,945067047","46,92523807"
Intermediário,E-mail,36-50,"8,87335356","5,150161642","37,23117483",Não,10,"2,621005758","42,08604938"
Intermediário,Telefone,26-35,"15,68779671","4,902211307","41,21136961",Sim,"6,75825937","3,588993552","40,27633747"
Premium,Chat,51+,"14,10174264","8,041141848","64,56388876",Sim,"8,388344153","3,818058865","53,04060728"
Intermediário,Telefone,36-50,"11,2907718","7,776872849","56,66895913",Sim,"8,807624143","4,947192034","47,55344434"
Premium,Chat,51+,"4,318581321","7,128201053","55,79096235",Sim,"3,98721399","2,37804623","56,7896238"
Básico,E-mail,36-50,"2,886330097","5,678651428","49,34667363",Sim,"6,349608933","3,125024918","56,11956428"
Básico,Presencial,26-35,"12,25382703","7,518535093","62,6706295",Sim,"5,74416786","5,919473801","47,08158882"
Intermediário,E-mail,26-35,"9,040645278","8,695717263","73,90559435",Não,"4,881281745","3,46378157","47,29300895"
Básico,E-mail,36-50,"13,29457298","6,765044512","52,29574412",Sim,"4,919163954","4,618669964","37,14604241"
Intermediário,Presencial,36-50,"12,65356796","8,169553506","59,63787231",Sim,"5,242623783","4,055785709","43,99989769"
Básico,Telefone,18-25,"6,984294716","8,271250338","69,86331959",Sim,"5,224226586","2,197418239","51,85557538"
Intermediário,Telefone,18-25,"3,518273519","6,962618903","46,56350626",Sim,"8,339660871","3,548168111","48,79336865"
Premium,Chat,36-50,"17,38056814","7,331140466","54,04473737",Não,"7,860123255","1,473807932","42,4440276"
